backbone,dataset,method,rank,seed,protocol,metric_type,task_type,n5_metric,r8_baseline_metric,paired_bad_diff_vs_r8,direction,n5_checkpoint,r8_checkpoint
cmpnn,bbbp,dora,2,0,scaffold,auc,classification,0.954881,0.956385,0.0015040000000000608,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bbbp_dora_r2_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bbbp,dora,2,1,scaffold,auc,classification,0.921697,0.916727,-0.00497000000000003,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bbbp_dora_r2_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bbbp,dora,2,2,scaffold,auc,classification,0.960943,0.93989,-0.02105299999999999,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bbbp_dora_r2_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bbbp,dora,32,0,scaffold,auc,classification,0.954744,0.956385,0.0016410000000000036,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bbbp_dora_r32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bbbp,dora,32,1,scaffold,auc,classification,0.916727,0.916727,0.0,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bbbp_dora_r32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bbbp,dora,32,2,scaffold,auc,classification,0.959887,0.93989,-0.019997000000000043,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bbbp_dora_r32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,sider,lora,2,0,scaffold,auc,classification,0.600716,0.562181,-0.038534999999999986,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_sider_lora_r2_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_sider_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,sider,lora,2,1,scaffold,auc,classification,0.585263,0.619716,0.03445300000000007,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_sider_lora_r2_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_sider_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,sider,lora,2,2,scaffold,auc,classification,0.591115,0.594403,0.0032880000000000686,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_sider_lora_r2_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_sider_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,sider,lora,32,0,scaffold,auc,classification,0.638952,0.562181,-0.07677099999999992,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_sider_lora_r32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_sider_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,sider,lora,32,1,scaffold,auc,classification,0.601332,0.619716,0.018384000000000067,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_sider_lora_r32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_sider_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,sider,lora,32,2,scaffold,auc,classification,0.595654,0.594403,-0.0012510000000000021,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_sider_lora_r32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_sider_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,sider,dora,2,0,scaffold,auc,classification,0.60082,0.608458,0.007638000000000034,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_sider_dora_r2_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_sider_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,sider,dora,2,1,scaffold,auc,classification,0.596315,0.613473,0.017158000000000007,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_sider_dora_r2_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_sider_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,sider,dora,2,2,scaffold,auc,classification,0.585066,0.587158,0.0020919999999999828,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_sider_dora_r2_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_sider_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,sider,dora,32,0,scaffold,auc,classification,0.626476,0.608458,-0.01801799999999998,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_sider_dora_r32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_sider_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,sider,dora,32,1,scaffold,auc,classification,0.594585,0.613473,0.018888000000000016,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_sider_dora_r32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_sider_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,sider,dora,32,2,scaffold,auc,classification,0.59213,0.587158,-0.0049720000000000875,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_sider_dora_r32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_sider_dora_scaffold_seed2/run_0/model_0/model.pt
chemberta2,freesolv,lora,2,0,scaffold,rmse,regression,2.5415090188919516,2.1771432116972695,0.36436580719468203,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_lora_r2_chemberta2_scaffold_seed0/model.pt,dumped/baseline_freesolv_lora_chemberta2_scaffold_seed0/model.pt
chemberta2,freesolv,lora,2,1,scaffold,rmse,regression,2.5613245245096796,2.5534737879847706,0.007850736524908974,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_lora_r2_chemberta2_scaffold_seed1/model.pt,dumped/baseline_freesolv_lora_chemberta2_scaffold_seed1/model.pt
chemberta2,freesolv,lora,2,2,scaffold,rmse,regression,1.9005132559153683,2.257611117242196,-0.35709786132682786,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_lora_r2_chemberta2_scaffold_seed2/model.pt,dumped/baseline_freesolv_lora_chemberta2_scaffold_seed2/model.pt
chemberta2,freesolv,lora,32,0,scaffold,rmse,regression,2.232253020701595,2.1771432116972695,0.055109809004325605,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_lora_r32_chemberta2_scaffold_seed0/model.pt,dumped/baseline_freesolv_lora_chemberta2_scaffold_seed0/model.pt
chemberta2,freesolv,lora,32,1,scaffold,rmse,regression,2.3077887924515936,2.5534737879847706,-0.24568499553317702,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_lora_r32_chemberta2_scaffold_seed1/model.pt,dumped/baseline_freesolv_lora_chemberta2_scaffold_seed1/model.pt
chemberta2,freesolv,lora,32,2,scaffold,rmse,regression,1.962801469135065,2.257611117242196,-0.2948096481071312,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_lora_r32_chemberta2_scaffold_seed2/model.pt,dumped/baseline_freesolv_lora_chemberta2_scaffold_seed2/model.pt
chemberta2,freesolv,dora,2,0,scaffold,rmse,regression,2.5324840598626186,2.179350030404293,0.3531340294583254,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_dora_r2_chemberta2_scaffold_seed0/model.pt,dumped/baseline_freesolv_dora_chemberta2_scaffold_seed0/model.pt
chemberta2,freesolv,dora,2,1,scaffold,rmse,regression,2.6025519794766225,2.546954007473736,0.05559797200288674,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_dora_r2_chemberta2_scaffold_seed1/model.pt,dumped/baseline_freesolv_dora_chemberta2_scaffold_seed1/model.pt
chemberta2,freesolv,dora,2,2,scaffold,rmse,regression,1.8866936660268034,2.2555224146337007,-0.3688287486068973,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_dora_r2_chemberta2_scaffold_seed2/model.pt,dumped/baseline_freesolv_dora_chemberta2_scaffold_seed2/model.pt
chemberta2,freesolv,dora,32,0,scaffold,rmse,regression,2.2465243515572877,2.179350030404293,0.06717432115299449,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_dora_r32_chemberta2_scaffold_seed0/model.pt,dumped/baseline_freesolv_dora_chemberta2_scaffold_seed0/model.pt
chemberta2,freesolv,dora,32,1,scaffold,rmse,regression,2.3186295182424015,2.546954007473736,-0.2283244892313343,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_dora_r32_chemberta2_scaffold_seed1/model.pt,dumped/baseline_freesolv_dora_chemberta2_scaffold_seed1/model.pt
chemberta2,freesolv,dora,32,2,scaffold,rmse,regression,1.9608132372387144,2.2555224146337007,-0.29470917739498637,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_dora_r32_chemberta2_scaffold_seed2/model.pt,dumped/baseline_freesolv_dora_chemberta2_scaffold_seed2/model.pt
chemberta2,esol,lora,2,0,scaffold,rmse,regression,0.7969908910515596,0.7722132076984445,0.024777683353115143,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_esol_lora_r2_chemberta2_scaffold_seed0/model.pt,dumped/baseline_esol_lora_chemberta2_scaffold_seed0/model.pt
chemberta2,esol,lora,2,1,scaffold,rmse,regression,0.9623849713341196,0.9119242576279227,0.05046071370619687,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_esol_lora_r2_chemberta2_scaffold_seed1/model.pt,dumped/baseline_esol_lora_chemberta2_scaffold_seed1/model.pt
