backbone,dataset,method,rank,seed,protocol,metric_type,task_type,n5_metric,r8_baseline_metric,paired_bad_diff_vs_r8,direction,n5_checkpoint,r8_checkpoint
cmpnn,sider,dora,16,0,scaffold,auc,classification,0.603525,0.608458,0.004933000000000076,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_sider_dora_r16_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_sider_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,sider,dora,16,1,scaffold,auc,classification,0.612784,0.613473,0.0006890000000000507,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_sider_dora_r16_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_sider_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,sider,dora,16,2,scaffold,auc,classification,0.604884,0.587158,-0.01772600000000002,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_sider_dora_r16_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_sider_dora_scaffold_seed2/run_0/model_0/model.pt
chemberta2,freesolv,lora,4,0,scaffold,rmse,regression,2.2398055446893688,2.1771432116972695,0.06266233299209922,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_lora_r4_chemberta2_scaffold_seed0/model.pt,dumped/baseline_freesolv_lora_chemberta2_scaffold_seed0/model.pt
chemberta2,freesolv,lora,4,1,scaffold,rmse,regression,2.330527992019863,2.5534737879847706,-0.2229457959649075,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_lora_r4_chemberta2_scaffold_seed1/model.pt,dumped/baseline_freesolv_lora_chemberta2_scaffold_seed1/model.pt
chemberta2,freesolv,lora,4,2,scaffold,rmse,regression,2.092204420207906,2.257611117242196,-0.16540669703429023,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_lora_r4_chemberta2_scaffold_seed2/model.pt,dumped/baseline_freesolv_lora_chemberta2_scaffold_seed2/model.pt
chemberta2,freesolv,lora,16,0,scaffold,rmse,regression,2.4066038986150384,2.1771432116972695,0.22946068691776889,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_lora_r16_chemberta2_scaffold_seed0/model.pt,dumped/baseline_freesolv_lora_chemberta2_scaffold_seed0/model.pt
chemberta2,freesolv,lora,16,1,scaffold,rmse,regression,2.5641362618408388,2.5534737879847706,0.010662473856068111,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_lora_r16_chemberta2_scaffold_seed1/model.pt,dumped/baseline_freesolv_lora_chemberta2_scaffold_seed1/model.pt
chemberta2,freesolv,lora,16,2,scaffold,rmse,regression,1.723370324050803,2.257611117242196,-0.5342407931913933,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_lora_r16_chemberta2_scaffold_seed2/model.pt,dumped/baseline_freesolv_lora_chemberta2_scaffold_seed2/model.pt
chemberta2,freesolv,dora,4,0,scaffold,rmse,regression,2.239729966678777,2.179350030404293,0.0603799362744839,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_dora_r4_chemberta2_scaffold_seed0/model.pt,dumped/baseline_freesolv_dora_chemberta2_scaffold_seed0/model.pt
chemberta2,freesolv,dora,4,1,scaffold,rmse,regression,2.3115569588890152,2.546954007473736,-0.23539704858472055,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_dora_r4_chemberta2_scaffold_seed1/model.pt,dumped/baseline_freesolv_dora_chemberta2_scaffold_seed1/model.pt
