backbone,protocol,dataset,seed,method_pair,task_type,metric_type,fullft_metric,peft_metric,fullft_bad_minus_peft_bad,direction
cmpnn,random,sider,1,fullft_vs_lora,classification,auc,0.621924,0.644994,0.023069999999999924,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,sider,1,fullft_vs_dora,classification,auc,0.621924,0.645643,0.023718999999999935,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,sider,2,fullft_vs_lora,classification,auc,0.620612,0.593275,-0.027337000000000056,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,sider,2,fullft_vs_dora,classification,auc,0.620612,0.592096,-0.028516000000000097,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,sider,10,fullft_vs_lora,classification,auc,0.638763,0.600819,-0.03794399999999998,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,sider,10,fullft_vs_dora,classification,auc,0.638763,0.636511,-0.0022519999999999207,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,sider,100,fullft_vs_lora,classification,auc,0.674919,0.645073,-0.02984600000000004,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,sider,100,fullft_vs_dora,classification,auc,0.674919,0.650175,-0.0247440000000001,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,sider,1000,fullft_vs_lora,classification,auc,0.630732,0.616057,-0.014674999999999994,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,sider,1000,fullft_vs_dora,classification,auc,0.630732,0.629271,-0.0014609999999999346,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,freesolv,0,fullft_vs_lora,regression,rmse,1.7820031431022694,1.2400031407378014,0.542000002364468,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,freesolv,0,fullft_vs_dora,regression,rmse,1.7820031431022694,1.2407933214669495,0.5412098216353198,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,freesolv,1,fullft_vs_lora,regression,rmse,1.1961039995567848,1.0145382275173243,0.18156577203946056,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,freesolv,1,fullft_vs_dora,regression,rmse,1.1961039995567848,1.012080418810385,0.1840235807463999,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,freesolv,2,fullft_vs_lora,regression,rmse,1.9163193457112817,1.7110530169782585,0.2052663287330232,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
