backbone,dataset,method,seed,protocol,task_type,metric_type,final_metric,status,epochs_completed,epochs_requested,batch_size,lr,weight_decay,trainable_params,elapsed_sec,peak_mib,checkpoint_path,checkpoint_exists,training_log
cmpnn,sider,fullft,100,random,classification,auc,0.674919,PASS,43,50,50,0.001,0.0,1896627,,,dumped/baseline_sider_fullft_cmpnn_random_seed100/run_0/model_0/model.pt,True,logs/baseline_sider_fullft_cmpnn_random/seed100/training.log
cmpnn,sider,fullft,1000,random,classification,auc,0.630732,PASS,43,50,50,0.001,0.0,1896627,,,dumped/baseline_sider_fullft_cmpnn_random_seed1000/run_0/model_0/model.pt,True,logs/baseline_sider_fullft_cmpnn_random/seed1000/training.log
chemberta2,freesolv,fullft,0,random,regression,rmse,1.7820031431022694,PASS,50,50,50,2e-05,0.01,3427825,13.30168604850769,9404,dumped/baseline_freesolv_fullft_chemberta2_random_seed0/model.pt,True,dumped/baseline_freesolv_fullft_chemberta2_random_seed0/training.log
chemberta2,freesolv,fullft,1,random,regression,rmse,1.1961039995567848,PASS,50,50,50,2e-05,0.01,3427825,13.331440210342407,9521,dumped/baseline_freesolv_fullft_chemberta2_random_seed1/model.pt,True,dumped/baseline_freesolv_fullft_chemberta2_random_seed1/training.log
chemberta2,freesolv,fullft,2,random,regression,rmse,1.9163193457112817,PASS,50,50,50,2e-05,0.01,3427825,14.01528787612915,9490,dumped/baseline_freesolv_fullft_chemberta2_random_seed2/model.pt,True,dumped/baseline_freesolv_fullft_chemberta2_random_seed2/training.log
chemberta2,freesolv,fullft,10,random,regression,rmse,1.3157534013371153,PASS,50,50,50,2e-05,0.01,3427825,13.633521556854248,9565,dumped/baseline_freesolv_fullft_chemberta2_random_seed10/model.pt,True,dumped/baseline_freesolv_fullft_chemberta2_random_seed10/training.log
chemberta2,freesolv,fullft,100,random,regression,rmse,1.5565469634669393,PASS,50,50,50,2e-05,0.01,3427825,12.850993871688843,9519,dumped/baseline_freesolv_fullft_chemberta2_random_seed100/model.pt,True,dumped/baseline_freesolv_fullft_chemberta2_random_seed100/training.log
chemberta2,freesolv,fullft,1000,random,regression,rmse,1.483271700760922,PASS,50,50,50,2e-05,0.01,3427825,12.621892929077148,9593,dumped/baseline_freesolv_fullft_chemberta2_random_seed1000/model.pt,True,dumped/baseline_freesolv_fullft_chemberta2_random_seed1000/training.log
chemberta2,esol,fullft,0,random,regression,rmse,0.7796452635063968,PASS,50,50,50,2e-05,0.01,3427825,18.80423140525818,9739,dumped/baseline_esol_fullft_chemberta2_random_seed0/model.pt,True,dumped/baseline_esol_fullft_chemberta2_random_seed0/training.log
chemberta2,esol,fullft,1,random,regression,rmse,0.7682828119373407,PASS,50,50,50,2e-05,0.01,3427825,19.63206434249878,9744,dumped/baseline_esol_fullft_chemberta2_random_seed1/model.pt,True,dumped/baseline_esol_fullft_chemberta2_random_seed1/training.log
chemberta2,esol,fullft,2,random,regression,rmse,0.6785554996033459,PASS,50,50,50,2e-05,0.01,3427825,19.943077564239502,9740,dumped/baseline_esol_fullft_chemberta2_random_seed2/model.pt,True,dumped/baseline_esol_fullft_chemberta2_random_seed2/training.log
