backbone,dataset,seed,seed_group,task_type,metric_type,lora_metric,dora_metric,paired_bad_diff,direction
chemberta2,esol,10,new_10_100_1000,regression,rmse,0.7287414037285797,0.7291323017923416,0.00039089806376191305,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,esol,100,new_10_100_1000,regression,rmse,0.8359654858619455,0.8349278493649449,-0.0010376364970006158,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,esol,1000,new_10_100_1000,regression,rmse,0.6901155482859098,0.689606236214829,-0.0005093120710808474,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,lipo,0,existing_0_1_2,regression,rmse,0.7186797978490805,0.7083470025333098,-0.010332795315770693,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,lipo,1,existing_0_1_2,regression,rmse,0.8041329926933086,0.796070627881888,-0.008062364811420641,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,lipo,2,existing_0_1_2,regression,rmse,0.7146806374484348,0.7257291875753176,0.011048550126882772,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,lipo,10,new_10_100_1000,regression,rmse,0.6889449021382047,0.6756346218260331,-0.01331028031217163,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,lipo,100,new_10_100_1000,regression,rmse,0.6430904120365065,0.6404776520027817,-0.0026127600337247925,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,lipo,1000,new_10_100_1000,regression,rmse,0.7528093491706452,0.7550652642494303,0.002255915078785087,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,bace,0,existing_0_1_2,classification,auc,0.8961980548187445,0.897789566755084,-0.0015915119363395513,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,bace,1,existing_0_1_2,classification,auc,0.8528893587033122,0.8548273431994362,-0.0019379844961240345,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,bace,2,existing_0_1_2,classification,auc,0.7930853850183343,0.7922123275711542,0.0008730574471800256,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,bace,10,new_10_100_1000,classification,auc,0.876750700280112,0.8765756302521008,0.00017507002801120386,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,bace,100,new_10_100_1000,classification,auc,0.8045296167247387,0.8212543554006969,-0.01672473867595825,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,bace,1000,new_10_100_1000,classification,auc,0.8581081081081081,0.8607068607068608,-0.0025987525987526405,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,bbbp,0,existing_0_1_2,classification,auc,0.9428353658536586,0.943140243902439,-0.00030487804878043256,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,bbbp,1,existing_0_1_2,classification,auc,0.9752694990488269,0.9751109701965758,0.00015852885225109414,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,bbbp,2,existing_0_1_2,classification,auc,0.9730085582620145,0.9735352205398289,-0.0005266622778143937,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,bbbp,10,new_10_100_1000,classification,auc,0.9595857255431723,0.9599234492851514,-0.00033772374197904576,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
