run_id,cell_index,backbone,dataset,method,seed,outcome,metric_name,metric_value,bad_diff,final_epoch,best_epoch,batch_size,lr,weight_decay,epochs_budget,patience,train_curve_path,checkpoint_path,duration_sec,error_class,error_message
r3_production_v1_20260528_030441,11,graphmvp_gin,bace,LoRA,1,PASS,auc,0.8952961672,0.0675958188,46,16,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_011_graphmvp_gin_bace_LoRA_seed1.pt,60.1,,
r3_production_v1_20260528_030441,12,graphmvp_gin,bace,LoRA,2,PASS,auc,0.8209803922,-0.0039215686,39,9,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_012_graphmvp_gin_bace_LoRA_seed2.pt,60.1,,
r3_production_v1_20260528_030441,13,graphmvp_gin,bace,DoRA,0,PASS,auc,0.8268656716,0.0019315189,50,43,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_013_graphmvp_gin_bace_DoRA_seed0.pt,60.4,,
r3_production_v1_20260528_030441,14,graphmvp_gin,bace,DoRA,1,PASS,auc,0.8277003484,0.0675958188,50,39,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_014_graphmvp_gin_bace_DoRA_seed1.pt,60.2,,
r3_production_v1_20260528_030441,15,graphmvp_gin,bace,DoRA,2,PASS,auc,0.8249019608,-0.0039215686,39,9,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_015_graphmvp_gin_bace_DoRA_seed2.pt,60.2,,
r3_production_v1_20260528_030441,16,unimol2_84m,bace,LoRA,0,PASS,AUROC,0.843256059,-0.0043905866,50,,8,0.0003,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_unimol2_train_curves.csv,,845.0,,
r3_production_v1_20260528_030441,17,unimol2_84m,bace,LoRA,1,PASS,AUROC,0.8920673921,0.0078975079,50,,8,0.0003,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_unimol2_train_curves.csv,,903.1,,
r3_production_v1_20260528_030441,18,unimol2_84m,bace,LoRA,2,PASS,AUROC,0.7963320463,-0.0257985258,50,,8,0.0003,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_unimol2_train_curves.csv,,845.1,,
r3_production_v1_20260528_030441,19,graphmvp_gin,bbbp,LoRA,0,PASS,auc,0.8937653815,-0.0010937927,50,25,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_019_graphmvp_gin_bbbp_LoRA_seed0.pt,61.5,,
r3_production_v1_20260528_030441,20,graphmvp_gin,bbbp,LoRA,1,PASS,auc,0.8941818182,0.0008484849,38,8,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_020_graphmvp_gin_bbbp_LoRA_seed1.pt,60.2,,
