backbone,dataset,method,lora_alpha,seed,protocol,metric_type,task_type,n7_metric,alpha16_baseline_metric,paired_bad_diff_vs_alpha16,direction,n7_checkpoint,alpha16_baseline_checkpoint
cmpnn,lipo,lora,8,0,random,rmse,regression,0.616769,0.566544,0.050224999999999964,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_lipo_lora_alpha8_seed0/run_0/model_0/model.pt,dumped/baseline_lipo_lora_seed0/run_0/model_0/model.pt
cmpnn,lipo,lora,8,1,random,rmse,regression,0.667591,0.665256,0.002335000000000087,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_lipo_lora_alpha8_seed1/run_0/model_0/model.pt,dumped/baseline_lipo_lora_seed1/run_0/model_0/model.pt
cmpnn,lipo,lora,8,2,random,rmse,regression,0.584745,0.585901,-0.0011560000000000459,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_lipo_lora_alpha8_seed2/run_0/model_0/model.pt,dumped/baseline_lipo_lora_seed2/run_0/model_0/model.pt
cmpnn,lipo,lora,32,0,random,rmse,regression,0.527265,0.566544,-0.039279000000000064,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_lipo_lora_alpha32_seed0/run_0/model_0/model.pt,dumped/baseline_lipo_lora_seed0/run_0/model_0/model.pt
cmpnn,lipo,lora,32,1,random,rmse,regression,0.68195,0.665256,0.016693999999999987,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_lipo_lora_alpha32_seed1/run_0/model_0/model.pt,dumped/baseline_lipo_lora_seed1/run_0/model_0/model.pt
cmpnn,lipo,lora,32,2,random,rmse,regression,0.564292,0.585901,-0.02160899999999999,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_lipo_lora_alpha32_seed2/run_0/model_0/model.pt,dumped/baseline_lipo_lora_seed2/run_0/model_0/model.pt
cmpnn,lipo,dora,8,0,random,rmse,regression,0.609829,0.571157,0.03867199999999993,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_lipo_dora_alpha8_seed0/run_0/model_0/model.pt,dumped/baseline_lipo_dora_seed0/run_0/model_0/model.pt
cmpnn,lipo,dora,8,1,random,rmse,regression,0.682257,0.670496,0.011761000000000021,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_lipo_dora_alpha8_seed1/run_0/model_0/model.pt,dumped/baseline_lipo_dora_seed1/run_0/model_0/model.pt
cmpnn,lipo,dora,8,2,random,rmse,regression,0.598014,0.57863,0.019384000000000068,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_lipo_dora_alpha8_seed2/run_0/model_0/model.pt,dumped/baseline_lipo_dora_seed2/run_0/model_0/model.pt
cmpnn,lipo,dora,32,0,random,rmse,regression,0.569569,0.571157,-0.0015880000000000338,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_lipo_dora_alpha32_seed0/run_0/model_0/model.pt,dumped/baseline_lipo_dora_seed0/run_0/model_0/model.pt
