index,backbone,method_comparison,protocol,alt_bootstrap_seed,n_pairs,locked_lower,locked_upper,alt_lower,alt_upper,alt_bootstrap_mean,locked_includes_zero,alt_includes_zero,invariant,zero_inclusion_changed
12,chemberta2,fullft_vs_dora,random,2,36,0.01147454532957968,0.07970885584958359,0.011090402497064552,0.07974493556762356,0.04392946642658243,False,False,True,False
12,chemberta2,fullft_vs_dora,random,7,36,0.01147454532957968,0.07970885584958359,0.01150311612131543,0.0794529165915065,0.04425368534697135,False,False,True,False
12,chemberta2,fullft_vs_dora,random,100,36,0.01147454532957968,0.07970885584958359,0.01095947776472207,0.08020737385649786,0.044302895012882475,False,False,True,False
13,molformer_c3,lora_vs_dora,scaffold,0,36,-0.02354112327978977,0.02977137119371154,-0.0238367153737921,0.029687482671504846,0.003983924667484842,True,True,True,False
13,molformer_c3,lora_vs_dora,scaffold,1,36,-0.02354112327978977,0.02977137119371154,-0.023300295654556175,0.02907567003433294,0.0038560392211601986,True,True,True,False
13,molformer_c3,lora_vs_dora,scaffold,2,36,-0.02354112327978977,0.02977137119371154,-0.023088649499414096,0.029359198643022083,0.004082881717808987,True,True,True,False
13,molformer_c3,lora_vs_dora,scaffold,7,36,-0.02354112327978977,0.02977137119371154,-0.022896527344635983,0.029613514349857453,0.004112582795728975,True,True,True,False
13,molformer_c3,lora_vs_dora,scaffold,100,36,-0.02354112327978977,0.02977137119371154,-0.02397318416768798,0.030011405952575006,0.003941317402821535,True,True,True,False
14,molformer_c3,lora_vs_dora,random,0,36,-0.025093487647540758,0.003561423151119793,-0.025305581614522503,0.0036838023544068545,-0.01082021392401976,True,True,True,False
14,molformer_c3,lora_vs_dora,random,1,36,-0.025093487647540758,0.003561423151119793,-0.025615548918730923,0.0032413939157208975,-0.010947643479097251,True,True,True,False
14,molformer_c3,lora_vs_dora,random,2,36,-0.025093487647540758,0.003561423151119793,-0.02546939096445021,0.003295539702841911,-0.01097299878600851,True,True,True,False
14,molformer_c3,lora_vs_dora,random,7,36,-0.025093487647540758,0.003561423151119793,-0.02533143231719659,0.0032201427014391997,-0.010933435539421811,True,True,True,False
14,molformer_c3,lora_vs_dora,random,100,36,-0.025093487647540758,0.003561423151119793,-0.025304325947342072,0.0034297687896987727,-0.010797092626626655,True,True,True,False
15,molformer_c3,fullft_vs_lora,scaffold,0,36,-0.04017423473444209,0.005945930404102099,-0.04089297644633265,0.00608562716495639,-0.015763545830308277,True,True,True,False
15,molformer_c3,fullft_vs_lora,scaffold,1,36,-0.04017423473444209,0.005945930404102099,-0.04069365991316738,0.006175945584496504,-0.01571345660356075,True,True,True,False
