dataset,backbone,method,protocol,seed,n_test,ECE_10bin,BrierScore,status
bbbp,cmpnn,lora,scaffold,1,205,0.0621117031247151,0.08795571951651551,PASS
bbbp,cmpnn,lora,scaffold,2,205,0.08044890904963789,0.08224180830767124,PASS
bbbp,cmpnn,lora,random,0,204,0.08338074769548542,0.07821606790875307,PASS
bbbp,cmpnn,lora,random,1,204,0.09902343713203625,0.08586977362582256,PASS
bbbp,cmpnn,lora,random,2,204,0.06428103990722717,0.06687719056721687,PASS
bbbp,cmpnn,dora,scaffold,0,205,0.06293441431551443,0.0695509476469012,PASS
bbbp,cmpnn,dora,scaffold,1,205,0.06364999417124731,0.08938360744178281,PASS
bbbp,cmpnn,dora,scaffold,2,205,0.08135360057136362,0.08063801076945305,PASS
bbbp,cmpnn,dora,random,0,204,0.08327119869029362,0.08127423064370216,PASS
bbbp,cmpnn,dora,random,1,204,0.06089232256693089,0.07200616682916582,PASS
bbbp,cmpnn,dora,random,2,204,0.04994478368077092,0.05748507937388134,PASS
bbbp,chemberta2,lora,scaffold,0,205,0.07268375718012088,0.06882267069607148,PASS
bbbp,chemberta2,lora,scaffold,1,205,0.04393015578389171,0.06996174305319941,PASS
bbbp,chemberta2,lora,scaffold,2,205,0.06991411107705857,0.06670960909445708,PASS
bbbp,chemberta2,lora,random,0,204,0.042846105901487866,0.07755871345316206,PASS
bbbp,chemberta2,lora,random,1,204,0.0743198839436267,0.05845930464440008,PASS
bbbp,chemberta2,lora,random,2,204,0.042537332731573035,0.06457773783015323,PASS
bbbp,chemberta2,dora,scaffold,0,205,0.062001089533654616,0.06889563022596239,PASS
bbbp,chemberta2,dora,scaffold,1,205,0.042860885091671116,0.0697413037584503,PASS
bbbp,chemberta2,dora,scaffold,2,205,0.0693113887455405,0.06652294862058052,PASS
bbbp,chemberta2,dora,random,0,204,0.044101539524454676,0.07776229070518863,PASS
bbbp,chemberta2,dora,random,1,204,0.07489998897939334,0.05873864239233211,PASS
bbbp,chemberta2,dora,random,2,204,0.049607439067068666,0.0643505399344934,PASS
bbbp,molformer_c3,lora,scaffold,0,205,0.036115247174734015,0.06760760327360184,PASS
bbbp,molformer_c3,lora,scaffold,1,205,0.07384908475526951,0.09595359316702601,PASS
bbbp,molformer_c3,lora,scaffold,2,205,0.05656072123930222,0.05186889725068776,PASS
bbbp,molformer_c3,lora,random,0,204,0.06588452750378672,0.0771247819126428,PASS
bbbp,molformer_c3,lora,random,1,204,0.04155659801600609,0.047561754522028134,PASS
bbbp,molformer_c3,lora,random,2,204,0.050839276210514546,0.056577775472788416,PASS
bbbp,molformer_c3,dora,scaffold,0,205,0.06650540479799597,0.06920302943913935,PASS
bbbp,molformer_c3,dora,scaffold,1,205,0.07382692303962829,0.09596129948167892,PASS
bbbp,molformer_c3,dora,scaffold,2,205,0.05589771017250491,0.05160827498039093,PASS
bbbp,molformer_c3,dora,random,0,204,0.05541537578078443,0.07115619582049551,PASS
bbbp,molformer_c3,dora,random,1,204,0.032413176808725346,0.047376630662265364,PASS
bbbp,molformer_c3,dora,random,2,204,0.03889352042574944,0.0599118921397748,PASS
