cell_id,backbone,dataset,method,split_type,seed,peak_vram_mib,torch_peak_mib,external_peak_mib,measurement_source,train_seconds,val_metric,metric_type,n4_val_metric_reference,val_metric_diff,reproducibility_status,status,checkpoint,checkpoint_exists,training_log,run_log,notes
t8_cmpnn_fullft_sider_random_seed0,cmpnn,sider,full_ft,random,0,1185.31494140625,1185.31494140625,6012,torch.cuda.max_memory_allocated_same_process,138.69120073318481,0.6938296897593184,auc,0.69383,3.1024068158913565e-07,PASS,PASS,dumped/t8_t8_cmpnn_fullft_sider_random_seed0/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_sider_random_seed0.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_011_sider_random_seed0.log,
t8_cmpnn_fullft_sider_random_seed1,cmpnn,sider,full_ft,random,1,1177.6513671875,1177.6513671875,6093,torch.cuda.max_memory_allocated_same_process,104.27358388900757,0.6219242201322044,auc,0.621924,2.2013220435379566e-07,PASS,PASS,dumped/t8_t8_cmpnn_fullft_sider_random_seed1/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_sider_random_seed1.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_012_sider_random_seed1.log,
t8_cmpnn_fullft_freesolv_scaffold_seed0,cmpnn,freesolv,full_ft,scaffold,0,3720,173.51904296875,3720,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,23.9574978351593,1.778182930149336,rmse,1.778183,6.985066414166852e-08,PASS,PASS,dumped/t8_t8_cmpnn_fullft_freesolv_scaffold_seed0/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_freesolv_scaffold_seed0.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_013_freesolv_scaffold_seed0.log,"torch_peak_mib=173.51904296875 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
t8_cmpnn_fullft_freesolv_scaffold_seed1,cmpnn,freesolv,full_ft,scaffold,1,3652,174.1064453125,3652,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,24.497540950775146,2.52912769675529,rmse,,,REFERENCE_MISSING,PASS,dumped/t8_t8_cmpnn_fullft_freesolv_scaffold_seed1/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_freesolv_scaffold_seed1.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_014_freesolv_scaffold_seed1.log,"torch_peak_mib=174.1064453125 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
t8_cmpnn_fullft_esol_scaffold_seed0,cmpnn,esol,full_ft,scaffold,0,3786,244.6220703125,3786,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,48.487529039382935,0.6897631585151441,rmse,0.689763,1.5851514412190681e-07,PASS,PASS,dumped/t8_t8_cmpnn_fullft_esol_scaffold_seed0/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_esol_scaffold_seed0.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_015_esol_scaffold_seed0.log,"torch_peak_mib=244.6220703125 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
t8_cmpnn_fullft_esol_scaffold_seed1,cmpnn,esol,full_ft,scaffold,1,3786,245.3681640625,3786,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,39.71124029159546,0.83533375305337,rmse,0.835334,2.46946630033662e-07,PASS,PASS,dumped/t8_t8_cmpnn_fullft_esol_scaffold_seed1/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_esol_scaffold_seed1.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_016_esol_scaffold_seed1.log,"torch_peak_mib=245.3681640625 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
t8_cmpnn_fullft_lipo_scaffold_seed0,cmpnn,lipo,full_ft,scaffold,0,4084,396.21484375,4084,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,295.13187551498413,0.625107714027749,rmse,0.625108,2.859722509906959e-07,PASS,PASS,dumped/t8_t8_cmpnn_fullft_lipo_scaffold_seed0/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_lipo_scaffold_seed0.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_017_lipo_scaffold_seed0.log,"torch_peak_mib=396.21484375 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
t8_cmpnn_fullft_lipo_scaffold_seed1,cmpnn,lipo,full_ft,scaffold,1,3954,394.47314453125,3954,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,294.1625828742981,0.5723138690887204,rmse,0.572314,1.309112795944145e-07,PASS,PASS,dumped/t8_t8_cmpnn_fullft_lipo_scaffold_seed1/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_lipo_scaffold_seed1.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_018_lipo_scaffold_seed1.log,"torch_peak_mib=394.47314453125 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
t8_cmpnn_fullft_bace_scaffold_seed0,cmpnn,bace,full_ft,scaffold,0,3918,373.1259765625,3918,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,103.0192015171051,0.8086040386303776,auc,0.808604,3.8630377563464435e-08,PASS,PASS,dumped/t8_t8_cmpnn_fullft_bace_scaffold_seed0/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_bace_scaffold_seed0.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_019_bace_scaffold_seed0.log,"torch_peak_mib=373.1259765625 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
t8_cmpnn_fullft_bace_scaffold_seed1,cmpnn,bace,full_ft,scaffold,1,3974,377.17529296875,3974,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,128.34761142730713,0.905574912891986,auc,0.905575,8.710801402411761e-08,PASS,PASS,dumped/t8_t8_cmpnn_fullft_bace_scaffold_seed1/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_bace_scaffold_seed1.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_020_bace_scaffold_seed1.log,"torch_peak_mib=377.17529296875 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
t8_cmpnn_fullft_bbbp_scaffold_seed0,cmpnn,bbbp,full_ft,scaffold,0,4050,426.423828125,4050,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,84.73025441169739,0.9394312277823352,auc,0.939431,2.2778233521592028e-07,PASS,PASS,dumped/t8_t8_cmpnn_fullft_bbbp_scaffold_seed0/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_bbbp_scaffold_seed0.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_021_bbbp_scaffold_seed0.log,"torch_peak_mib=426.423828125 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
t8_cmpnn_fullft_bbbp_scaffold_seed1,cmpnn,bbbp,full_ft,scaffold,1,4026,425.439453125,4026,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,103.39440298080444,0.9176969696969697,auc,0.917697,3.0303030307266e-08,PASS,PASS,dumped/t8_t8_cmpnn_fullft_bbbp_scaffold_seed1/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_bbbp_scaffold_seed1.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_022_bbbp_scaffold_seed1.log,"torch_peak_mib=425.439453125 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
t8_cmpnn_fullft_sider_scaffold_seed0,cmpnn,sider,full_ft,scaffold,0,1175.013671875,1175.013671875,5822,torch.cuda.max_memory_allocated_same_process,134.6055042743683,0.6413016602898324,auc,0.641302,3.3971016766276563e-07,PASS,PASS,dumped/t8_t8_cmpnn_fullft_sider_scaffold_seed0/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_sider_scaffold_seed0.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_023_sider_scaffold_seed0.log,
t8_cmpnn_fullft_sider_scaffold_seed1,cmpnn,sider,full_ft,scaffold,1,1166.34619140625,1166.34619140625,5134,torch.cuda.max_memory_allocated_same_process,142.43272995948792,0.618727129934444,auc,0.618727,1.2993444398201603e-07,PASS,PASS,dumped/t8_t8_cmpnn_fullft_sider_scaffold_seed1/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_sider_scaffold_seed1.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_024_sider_scaffold_seed1.log,
