backbone,dataset,method,lora_alpha,seed,protocol,metric_type,task_type,n7_metric,alpha16_baseline_metric,paired_bad_diff_vs_alpha16,direction,n7_checkpoint,alpha16_baseline_checkpoint
cmpnn,lipo,dora,32,0,scaffold,rmse,regression,0.621882,0.627623,-0.005740999999999996,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_lipo_dora_alpha32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_lipo_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,lipo,dora,32,1,scaffold,rmse,regression,0.608104,0.613169,-0.005064999999999986,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_lipo_dora_alpha32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_lipo_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,lipo,dora,32,2,scaffold,rmse,regression,0.663788,0.665076,-0.0012879999999999558,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_lipo_dora_alpha32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_lipo_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bace,lora,8,0,scaffold,auc,classification,0.872871,0.852502,-0.02036899999999997,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bace_lora_alpha8_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bace_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bace,lora,8,1,scaffold,auc,classification,0.898258,0.913937,0.015679,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bace_lora_alpha8_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bace_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bace,lora,8,2,scaffold,auc,classification,0.831569,0.831373,-0.00019599999999997397,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bace_lora_alpha8_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bace_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bace,lora,32,0,scaffold,auc,classification,0.830729,0.852502,0.02177299999999993,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bace_lora_alpha32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bace_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bace,lora,32,1,scaffold,auc,classification,0.924216,0.913937,-0.010279000000000038,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bace_lora_alpha32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bace_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bace,lora,32,2,scaffold,auc,classification,0.840196,0.831373,-0.008823000000000025,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bace_lora_alpha32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bace_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bace,dora,8,0,scaffold,auc,classification,0.864267,0.853556,-0.010711000000000026,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bace_dora_alpha8_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bace_dora_scaffold_seed0/run_0/model_0/model.pt
